Video link,260101,260102,260103,260104,260105
ZZIKS6NIMHo,61630.0,62393.0,63101.0,63737.0,64538
No2UhSOp8aM,233668.0,235125.0,236323.0,237351.0,238505
eDSb9J1DJKc,1074235.0,1080870.0,1088454.0,1095703.0,1102763
_LGkbAg-4oo,1219.0,1388.0,1579.0,1763.0,1852
aLBo0oJqBXI,9929208.0,9962372.0,10014580.0,10049586.0,10083184
VW7jSCsuWCI,151972.0,153262.0,154283.0,155163.0,156617
AoC7BBs_l6g,5714.0,5854.0,5989.0,6097.0,6198
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260
blYK_tKXn9E,527156.0,530850.0,534368.0,537543.0,540497
OCfFVUySdYw,1520620.0,1552330.0,1605803.0,1640140.0,1666562
7hTbNeHqGD8,12418490.0,12451822.0,12485028.0,12516646.0,12552039
QjMGurFjvT4,6780.0,7113.0,7453.0,7717.0,7916
cC-6G5daQBo,92475.0,93533.0,94630.0,95702.0,97372
Mxp_q_RBCXE,3196.0,476150.0,1067341.0,1441047.0,1773183
lRZXbdupH7I,43984.0,45525.0,46999.0,48698.0,49926
J1kMnHO8xSk,89722.0,91835.0,94335.0,96414.0,98232
ELaFmC2UFzk,370908.0,371304.0,371865.0,372408.0,372910
UulR1x4tvZE,529251.0,532290.0,535457.0,539279.0,543360
8cEdndsuzSE,21144971.0,21186470.0,21229979.0,21273684.0,21316833
n71tJihpPHA,11309.0,11677.0,11974.0,12236.0,12806
_onCG9RhAIo,,,2251.0,5809.0,7927
QFI8C6_STTc,,,841.0,1807.0,2249
3Lj1CoLVQbU,,,2549.0,6446.0,8433
N_P7j2JG7ws,,,,69.0,136
oB5ZwlgICvg,,,,,3916
-XJi9qCv_1s,,,,,2990
