Video link,260101,260102,260103,260104,260105,260106,260107,260108,260109,260110,260111,260112,260113,260114,260115,260116,260117,260118,260119
ZZIKS6NIMHo,3231.0,3282.0,3308.0,3335.0,3359.0,3377.0,3440.0,3480.0,3533.0,3577.0,3606.0,3620.0,3632.0,3639.0,3646.0,3656.0,3669.0,3679.0,3686
No2UhSOp8aM,2734.0,2739.0,2744.0,2756.0,2766.0,2777.0,2781.0,2785.0,2786.0,2792.0,2794.0,2798.0,2806.0,2812.0,2815.0,2819.0,2820.0,2824.0,2826
eDSb9J1DJKc,30397.0,30799.0,31449.0,32019.0,32411.0,32848.0,33226.0,33488.0,33719.0,33973.0,34149.0,34287.0,34427.0,34559.0,34669.0,34782.0,34895.0,35001.0,35097
_LGkbAg-4oo,130.0,134.0,136.0,137.0,138.0,139.0,142.0,143.0,144.0,144.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146
aLBo0oJqBXI,180367.0,180902.0,181645.0,182312.0,182830.0,183387.0,183913.0,184472.0,184960.0,185499.0,185968.0,187384.0,188449.0,189097.0,189651.0,190251.0,190796.0,191234.0,191598
VW7jSCsuWCI,14309.0,14358.0,14406.0,14452.0,14522.0,14552.0,14564.0,14579.0,14591.0,14596.0,14598.0,14604.0,14606.0,14608.0,14610.0,14612.0,14613.0,14615.0,14613
AoC7BBs_l6g,1121.0,1137.0,1155.0,1164.0,1170.0,1179.0,1190.0,1200.0,1223.0,1240.0,1252.0,1268.0,1297.0,1358.0,1433.0,1471.0,1481.0,1493.0,1498
YgwGBgZEKaM,3717.0,5478.0,6090.0,6444.0,6769.0,7018.0,7290.0,7466.0,7597.0,7717.0,7775.0,7845.0,7899.0,7932.0,7953.0,7987.0,8016.0,8041.0,8060
YgwGBgZEKaM,3717.0,5478.0,6090.0,6444.0,6769.0,7018.0,7290.0,7466.0,7597.0,7717.0,7775.0,7845.0,7899.0,7932.0,7953.0,7987.0,8016.0,8041.0,8060
blYK_tKXn9E,78404.0,78599.0,78772.0,78974.0,79099.0,79302.0,79534.0,79724.0,79816.0,79905.0,79978.0,80281.0,80452.0,80537.0,80618.0,80678.0,80728.0,80765.0,80788
OCfFVUySdYw,261695.0,264526.0,268046.0,269962.0,271287.0,272448.0,273388.0,274663.0,276747.0,278352.0,279419.0,280103.0,280822.0,281692.0,282851.0,287261.0,289547.0,290880.0,291740
7hTbNeHqGD8,355858.0,356704.0,357584.0,358371.0,359137.0,359813.0,360478.0,361169.0,361772.0,362437.0,363302.0,364174.0,364866.0,365464.0,366052.0,366607.0,367324.0,368477.0,374313
QjMGurFjvT4,971.0,999.0,1025.0,1047.0,1068.0,1074.0,1079.0,1084.0,1086.0,1088.0,1089.0,1088.0,1089.0,1090.0,1092.0,1092.0,1092.0,1092.0,1094
cC-6G5daQBo,3442.0,3463.0,3481.0,3501.0,3528.0,3550.0,3570.0,3592.0,3619.0,3641.0,3661.0,3689.0,3752.0,3781.0,3808.0,3843.0,3859.0,3886.0,3898
Mxp_q_RBCXE,1074.0,52503.0,83962.0,95857.0,105296.0,113723.0,121329.0,128211.0,135109.0,143363.0,151221.0,157310.0,163051.0,168422.0,173442.0,178646.0,184304.0,189704.0,193990
lRZXbdupH7I,8045.0,8277.0,8528.0,8759.0,8939.0,9115.0,9343.0,9526.0,9676.0,9855.0,10045.0,10218.0,10692.0,10998.0,11211.0,11406.0,11586.0,11795.0,11981
J1kMnHO8xSk,4305.0,4325.0,4361.0,4387.0,4424.0,4478.0,4546.0,4588.0,4599.0,4599.0,4599.0,4599.0,4599.0,4597.0,4598.0,4599.0,4600.0,4597.0,4596
