Video link,250605,250606
XDr2lvlFquU,60.0,60
02lRn7xK4RI,,
xPkNO6g0n4U,774.0,774
fQZEQyDGXSE,104.0,104
ebXGM6ikLZ0,156.0,156
it2FYS91jCo,39.0,39
t8cfidoXM8Y,822.0,822
0IdcTTf1QnI,325.0,325
zhU3OCbZWD4,16114.0,16113
YcczNgghdwc,49750.0,49747
z1azFF_oAd8,1219.0,1219
sBFRzILJ8FQ,26457.0,26456
PBiKwxADZu8,160.0,160
XqWEejmYiAg,37.0,37
QOzavNhLWbE,15.0,15
OsrejLIwKhk,1.0,1
vseuf1TqlRg,0.0,0
_T59ZuTl56s,184.0,184
GJEHw0zz86Y,26.0,26
ebPV4fYVFVk,153614.0,153636
UVfyz6iL8Zo,1175.0,1175
0CzT_fOQJ1w,7262.0,7261
agah9ONLRWw,1506.0,1506
AqTiUAtXH-0,,
qPisGs6Vz2c,68.0,68
m39AGzDInwQ,22.0,22
AnGD7PJkmYQ,26.0,26
uB9mjXp8Ogo,32.0,32
zxrODuVYkUs,6019.0,6019
j7_iufVbrYg,0.0,0
K776X_Wq4Ug,1.0,1
DQYeICglx0w,0.0,0
RUnmR8tj9G4,147.0,147
-d4JshwICmk,187.0,187
FC7ebDCA2Q8,590.0,590
SPF4HngPfy8,2253.0,2253
RAGpgYqvLGc,807.0,808
bwgiRheMJh8,1054.0,1054
VGBxiZsnXh4,133.0,133
cZfPFNcx2f4,8470.0,8471
XvzrIh_2JOo,1734.0,1734
aJdrRV05R2c,15998.0,15995
604XKE8_TNE,,
-iMRP_KOmOs,3260.0,3261
kSDLPF74Sa8,427.0,427
_jkfmeu8MsU,452.0,452
cfGl7ZIq-CQ,,
5cJEZ-pC-RQ,188862.0,188863
BR7xmw_RTqs,9487.0,9486
NX31WXTuOnw,7126.0,7125
Y6cYFxVT5I8,216.0,216
O5biVaEFpY0,343.0,343
359DEaWldec,,
cpB2ZMzXrss,1333555.0,1333700
ygJgQAYZVi0,845207.0,845216
uImU5ijNK-U,496.0,496
fvzQt_2lv3g,1632.0,1632
x5QZUzKAyv8,374.0,374
FIkXfjyXhhI,,
uNOVXwWLgIw,2209.0,2209
2ThqwQggAdA,479.0,479
4EpjTAYs6a0,15331.0,15333
Ihmc3iN8Ks4,4709.0,4709
qivbZZ-2Lac,1846.0,1846
6Ql8nS6qHm4,6823.0,6823
tyj7CLqurmY,34952.0,34952
-ssLM3WqJSM,18965.0,18969
zo3F3PottHI,333.0,333
I0G8pn4PudQ,105.0,105
iKp8Rbq3UEM,1019.0,1019
ulYfmWSjG9M,30779.0,30782
zl3zHMVsA8A,27362.0,27361
fXgmejO7vYM,6960.0,6963
x-Juc8ia7x4,942.0,943
ckzho8x0q5g,106.0,106
d5JedOlmEyA,11.0,11
Tfn6Tk7cbCs,79.0,79
PuXH_fgAY6E,6942.0,6941
FZys3pZe1i8,3279.0,3277
CGvkwuZjLHo,37645.0,37643
eJ5oRsAzsLk,279.0,279
mF_I7fo8_EA,178.0,178
FDqlhXkWN2Y,132334.0,132386
hVLRky1hGfk,350657.0,350687
ygAB6aKaidU,14193.0,14193
eO1ova9Isug,691.0,691
n6x7wIsNK-M,741.0,742
gsFLc2kv4Xw,1325.0,1327
FSIGLF5G7BY,1532.0,1533
DvCI12Bvl0w,1452.0,1452
rkrXoMNiM5M,19528.0,19527
GxaWj8eoRmw,136003.0,136000
WS5u-6LnyUU,129081.0,129081
4UJUY9pXnPg,787.0,787
IIdQZF5ragM,33.0,33
BNoK-gG_3KM,23.0,23
E1sOXOARqIc,393.0,393
tM1v-q5daOw,717.0,717
bqA5zLCS_e0,175.0,175
sApjwiLo2-E,121.0,121
TlmM1JfXu_w,96.0,96
IWAHmvBiSNA,31.0,31
3B4S_FleqVg,31.0,32
qvGwLOgMKUA,23.0,23
Xt5kTAhI2ZA,163.0,163
nRgnrTlSo58,244.0,244
NQ-S4Uz_5uk,56.0,56
4iYD0catMpY,7.0,7
h-iGa-85CxA,430.0,430
-pmrMJjUCnI,61466.0,61537
95kCMWdWf_s,201.0,201
Lx2Uj6YIiNY,537.0,537
P9EtUdtkiKQ,52.0,52
PBjS2D5SQh0,779.0,780
SuNUN2xqwwI,1480.0,1480
S8VRjo39tIQ,2606.0,2607
7Vmae8-bPVM,,
gY3RvDNFFx8,12142.0,12146
mCMTpLjVYYo,66.0,66
IDii_W6qocs,256.0,256
2CHRKiGRTTo,189.0,189
PE4QEQ4ciWk,1513.0,1512
9BqCWavdAEo,273.0,273
x4XOZ4LotYc,70822.0,70826
lQzbcR9lk1c,4198.0,4199
dGoHLoDmHdI,131479.0,131592
