Video link,260101,260102,260103,260104,260105
ZZIKS6NIMHo,144.0,144.0,144.0,144.0,144
No2UhSOp8aM,215.0,216.0,217.0,217.0,219
eDSb9J1DJKc,2182.0,2196.0,2211.0,2227.0,2247
_LGkbAg-4oo,39.0,39.0,40.0,41.0,41
aLBo0oJqBXI,36203.0,36351.0,36986.0,37100.0,37134
VW7jSCsuWCI,1184.0,1187.0,1187.0,1188.0,1190
AoC7BBs_l6g,85.0,86.0,87.0,87.0,87
YgwGBgZEKaM,504.0,644.0,705.0,733.0,760
YgwGBgZEKaM,504.0,644.0,705.0,733.0,760
blYK_tKXn9E,3483.0,3486.0,3489.0,3492.0,3492
OCfFVUySdYw,11860.0,11932.0,11985.0,12028.0,12045
7hTbNeHqGD8,48026.0,48131.0,48260.0,48360.0,48466
QjMGurFjvT4,88.0,90.0,92.0,93.0,93
cC-6G5daQBo,236.0,237.0,238.0,240.0,240
Mxp_q_RBCXE,437.0,10264.0,13144.0,13622.0,13906
lRZXbdupH7I,582.0,585.0,588.0,599.0,604
J1kMnHO8xSk,291.0,292.0,294.0,295.0,297
ELaFmC2UFzk,1584.0,1584.0,1584.0,1584.0,1584
UulR1x4tvZE,1697.0,1699.0,1699.0,1701.0,1701
8cEdndsuzSE,18344.0,18391.0,18447.0,18476.0,18499
n71tJihpPHA,100.0,101.0,101.0,101.0,101
_onCG9RhAIo,,,128.0,203.0,239
QFI8C6_STTc,,,2.0,2.0,2
3Lj1CoLVQbU,,,67.0,96.0,102
N_P7j2JG7ws,,,,6.0,6
oB5ZwlgICvg,,,,,78
-XJi9qCv_1s,,,,,149
