Video link,260101,260102,260103
ZZIKS6NIMHo,144.0,144.0,144
No2UhSOp8aM,215.0,216.0,217
eDSb9J1DJKc,2182.0,2196.0,2211
_LGkbAg-4oo,39.0,39.0,40
aLBo0oJqBXI,36203.0,36351.0,36986
VW7jSCsuWCI,1184.0,1187.0,1187
AoC7BBs_l6g,85.0,86.0,87
YgwGBgZEKaM,504.0,644.0,705
YgwGBgZEKaM,504.0,644.0,705
blYK_tKXn9E,3483.0,3486.0,3489
OCfFVUySdYw,11860.0,11932.0,11985
7hTbNeHqGD8,48026.0,48131.0,48260
QjMGurFjvT4,88.0,90.0,92
cC-6G5daQBo,236.0,237.0,238
Mxp_q_RBCXE,437.0,10264.0,13144
lRZXbdupH7I,582.0,585.0,588
J1kMnHO8xSk,291.0,292.0,294
ELaFmC2UFzk,1584.0,1584.0,1584
UulR1x4tvZE,1697.0,1699.0,1699
8cEdndsuzSE,18344.0,18391.0,18447
n71tJihpPHA,100.0,101.0,101
_onCG9RhAIo,,,128
QFI8C6_STTc,,,2
3Lj1CoLVQbU,,,67
