Video link,260101,260102,260103
ZZIKS6NIMHo,61630.0,62393.0,63101
No2UhSOp8aM,233668.0,235125.0,236323
eDSb9J1DJKc,1074235.0,1080870.0,1088454
_LGkbAg-4oo,1219.0,1388.0,1579
aLBo0oJqBXI,9929208.0,9962372.0,10014580
VW7jSCsuWCI,151972.0,153262.0,154283
AoC7BBs_l6g,5714.0,5854.0,5989
YgwGBgZEKaM,53755.0,260043.0,428179
YgwGBgZEKaM,53755.0,260043.0,428179
blYK_tKXn9E,527156.0,530850.0,534368
OCfFVUySdYw,1520620.0,1552330.0,1605803
7hTbNeHqGD8,12418490.0,12451822.0,12485028
QjMGurFjvT4,6780.0,7113.0,7453
cC-6G5daQBo,92475.0,93533.0,94630
Mxp_q_RBCXE,3196.0,476150.0,1067341
lRZXbdupH7I,43984.0,45525.0,46999
J1kMnHO8xSk,89722.0,91835.0,94335
ELaFmC2UFzk,370908.0,371304.0,371865
UulR1x4tvZE,529251.0,532290.0,535457
8cEdndsuzSE,21144971.0,21186470.0,21229979
n71tJihpPHA,11309.0,11677.0,11974
_onCG9RhAIo,,,2251
QFI8C6_STTc,,,841
3Lj1CoLVQbU,,,2549
