Video link,260101,260102,260103,260104,260105,260106,260107,260108
ZZIKS6NIMHo,61630.0,62393.0,63101.0,63737.0,64538.0,65393.0,66406.0,67434
No2UhSOp8aM,233668.0,235125.0,236323.0,237351.0,238505.0,239525.0,240361.0,241050
eDSb9J1DJKc,1074235.0,1080870.0,1088454.0,1095703.0,1102763.0,1110633.0,1117428.0,1123387
_LGkbAg-4oo,1219.0,1388.0,1579.0,1763.0,1852.0,1912.0,2004.0,2060
aLBo0oJqBXI,9929208.0,9962372.0,10014580.0,10049586.0,10083184.0,10116366.0,10148871.0,10180238
VW7jSCsuWCI,151972.0,153262.0,154283.0,155163.0,156617.0,157454.0,157948.0,158361
AoC7BBs_l6g,5714.0,5854.0,5989.0,6097.0,6198.0,6318.0,6438.0,6581
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108
blYK_tKXn9E,527156.0,530850.0,534368.0,537543.0,540497.0,544130.0,548342.0,552666
OCfFVUySdYw,1520620.0,1552330.0,1605803.0,1640140.0,1666562.0,1690276.0,1711962.0,1733801
7hTbNeHqGD8,12418490.0,12451822.0,12485028.0,12516646.0,12552039.0,12586076.0,12619337.0,12650749
QjMGurFjvT4,6780.0,7113.0,7453.0,7717.0,7916.0,8019.0,8084.0,8149
cC-6G5daQBo,92475.0,93533.0,94630.0,95702.0,97372.0,98866.0,100094.0,101402
Mxp_q_RBCXE,3196.0,476150.0,1067341.0,1441047.0,1773183.0,2102169.0,2417094.0,2735471
lRZXbdupH7I,43984.0,45525.0,46999.0,48698.0,49926.0,51090.0,52453.0,54054
J1kMnHO8xSk,89722.0,91835.0,94335.0,96414.0,98232.0,100320.0,102812.0,104999
ELaFmC2UFzk,370908.0,371304.0,371865.0,372408.0,372910.0,373419.0,373933.0,375413
UulR1x4tvZE,529251.0,532290.0,535457.0,539279.0,543360.0,547215.0,551715.0,556852
8cEdndsuzSE,21144971.0,21186470.0,21229979.0,21273684.0,21316833.0,21360358.0,21404480.0,21449135
n71tJihpPHA,11309.0,11677.0,11974.0,12236.0,12806.0,13213.0,13440.0,13583
_onCG9RhAIo,,,2251.0,5809.0,7927.0,9451.0,10513.0,11603
QFI8C6_STTc,,,841.0,1807.0,2249.0,2565.0,2784.0,3125
3Lj1CoLVQbU,,,2549.0,6446.0,8433.0,9498.0,10472.0,11155
N_P7j2JG7ws,,,,69.0,136.0,153.0,171.0,177
oB5ZwlgICvg,,,,,3916.0,11833.0,16307.0,19591
-XJi9qCv_1s,,,,,2990.0,9945.0,11259.0,12106
5XCdT42R1Yg,,,,,,35067.0,35082.0,35090
t_HEiqWHg44,,,,,,6716.0,7796.0,8566
n17xAjgbHO0,,,,,,239.0,288.0,418
VQucfbsmlyc,,,,,,791.0,1037.0,1098
U4avKonYpIk,,,,,,1268.0,4301.0,5048
1UyzVpQDkW8,,,,,,3718.0,11008.0,15053
L_IrTG4E-CY,,,,,,3483.0,4675.0,5498
OrlkRhaVnhk,,,,,,,8980.0,40285
zSFmsS5ufDs,,,,,,,1147.0,3335
22CcsqxQdW0,,,,,,,5695.0,10225
nhDcqoetCy8,,,,,,,,29199
