Video link,250605,250606
knUmm-6S7k4,968.0,968
UdS3gV0_MA8,3620.0,3622
KJ7o-Kj8_as,772.0,772
kJ0BT7opYvM,299.0,299
1EsRhv19Whw,87.0,87
c5gzArW-YO8,0.0,0
YO1yO_9H264,156.0,157
5TaIglIkDR4,759.0,759
Vu9e3vOuXqQ,1098.0,1098
Mkr79QX16Vs,19.0,19
plf2nLL63E0,13.0,13
efb5vVW6c2A,15.0,15
X-j_GJyLkFQ,8.0,8
9hTpDHJmjC0,37315.0,37333
De_2f4iBu9I,164.0,164
_L5RqHfY7kw,290.0,290
QHerQr9njW8,12.0,12
MxZbRuB6VN4,63.0,63
XK61Jwg3aVI,25.0,25
GuaRxObxiRQ,5.0,5
JNOlzryxU6E,0.0,0
tS1doiMBz4Y,903.0,903
JXfqzAEHJqQ,7428.0,7439
JoQ8SA1Mj_U,2245.0,2247
JoQ8SA1Mj_U,2245.0,2247
VWArEaFc7vk,953.0,953
1fREMIhh7c4,5.0,5
lDHo9eDZaJY,129.0,129
NhoZ_BYqp0I,3156.0,3160
piHRt4SPSBg,63.0,63
JtqjGtV-rqk,17.0,17
wfOuIA233zY,0.0,0
5SPkKhMeNjI,377.0,377
KM-YzSbGT4s,10302.0,10304
qaN1uvWiRCE,382.0,382
fTVo7DLD5AA,49.0,49
QsQJJcyG34o,0.0,0
iAF3VqgpgjI,108.0,108
nSfvlJcb-3g,1158.0,1158
6uTT3pK2PqQ,0.0,0
6uTT3pK2PqQ,0.0,0
852sHqO8k7w,13.0,13
C_T3lbBo6Jo,356.0,357
Sz99FNZJcw8,22.0,22
cEWYsA22150,9681.0,9686
vn3TzKbaGlc,5468.0,5466
xQn_Jz2hKKs,1426.0,1428
Ae_NlDspcR8,0.0,0
EDSOKdFhQuE,1759.0,1758
4rIsl4GjM9M,0.0,0
LGsdsDQznio,0.0,0
0w_GymG3kbc,2095.0,2099
fLi0EJfi_vg,31123.0,31134
IPkjwbS8VYk,0.0,0
IAnuBDe1g0M,0.0,0
M06MikdBQ1Q,0.0,0
Gh3y9b7S8ZE,0.0,0
3rkQkpXIYh4,51.0,51
DLmtaIlOlcI,442.0,442
07g_tnrD-sY,847.0,848
q5RUiHemQTc,140.0,140
SURoiKxZBfE,305.0,305
XvKK2Fbo0Cc,41.0,41
_0f5FjEQzsg,14080.0,14079
RJcPTkW1DiQ,201.0,201
IPkbuxQdDHs,90.0,91
F6Ix6V2Cx-w,11973.0,12000
wlPCQFYWRFo,5190.0,5192
nSCBqBGkRCI,0.0,0
oEiypM6zs24,0.0,0
lC1gcCrkPFs,0.0,0
m7cckgkfTR4,0.0,0
4no_auZ_WtY,3846.0,3875
MbDoupKadZE,1234.0,1235
ZGcgCSmofZk,2808.0,2809
zSkLTFz_Pok,816.0,815
E5JA0k9RVcE,0.0,0
Jcnywv0-l0A,0.0,0
5-YiC6bULqc,2.0,2
kW1e8NtdW90,149578.0,149636
kW1e8NtdW90,149578.0,149636
ECqGCH1TfLY,133040.0,133180
Kp_6iKl_Qtw,3809.0,3810
ECqGCH1TfLY,133040.0,133180
f2ILvf-JKBY,12614.0,12628
