Video link,250605,250606,250607,250608
XDr2lvlFquU,1765.0,1765.0,1766.0,1766
02lRn7xK4RI,6270.0,6270.0,6270.0,6270
xPkNO6g0n4U,26282.0,26284.0,26288.0,26289
fQZEQyDGXSE,2334.0,2334.0,2334.0,2336
ebXGM6ikLZ0,4282.0,4282.0,4282.0,4282
it2FYS91jCo,1781.0,1781.0,1781.0,1781
t8cfidoXM8Y,117187.0,117192.0,117195.0,117197
0IdcTTf1QnI,73119.0,73121.0,73123.0,73125
zhU3OCbZWD4,836394.0,836399.0,836405.0,836421
YcczNgghdwc,1519510.0,1519561.0,1519608.0,1519657
z1azFF_oAd8,15819.0,15821.0,15821.0,15822
sBFRzILJ8FQ,2298130.0,2298177.0,2298214.0,2298253
PBiKwxADZu8,4119.0,4121.0,4123.0,4123
XqWEejmYiAg,2484.0,2493.0,2504.0,2514
QOzavNhLWbE,637.0,640.0,640.0,640
OsrejLIwKhk,146.0,146.0,146.0,146
vseuf1TqlRg,40.0,40.0,40.0,40
_T59ZuTl56s,13139.0,13143.0,13148.0,13157
GJEHw0zz86Y,1918.0,1918.0,1921.0,1922
ebPV4fYVFVk,6416655.0,6418011.0,6419469.0,6421015
UVfyz6iL8Zo,80123.0,80123.0,80123.0,80123
0CzT_fOQJ1w,310600.0,310646.0,310682.0,310735
agah9ONLRWw,405504.0,405609.0,405743.0,405864
AqTiUAtXH-0,161851.0,161886.0,161919.0,161950
qPisGs6Vz2c,1749.0,1752.0,1757.0,1759
m39AGzDInwQ,692.0,692.0,692.0,692
AnGD7PJkmYQ,520.0,520.0,520.0,520
uB9mjXp8Ogo,645.0,645.0,645.0,646
zxrODuVYkUs,88498.0,88520.0,88533.0,88551
j7_iufVbrYg,21.0,21.0,21.0,21
K776X_Wq4Ug,41.0,41.0,41.0,41
DQYeICglx0w,31.0,31.0,31.0,31
RUnmR8tj9G4,5933.0,5934.0,5936.0,5939
-d4JshwICmk,4785.0,4786.0,4788.0,4788
FC7ebDCA2Q8,138628.0,138775.0,138908.0,139021
SPF4HngPfy8,119672.0,119681.0,119698.0,119720
RAGpgYqvLGc,61716.0,61732.0,61744.0,61753
bwgiRheMJh8,71698.0,71724.0,71753.0,71773
VGBxiZsnXh4,8230.0,8230.0,8230.0,8230
cZfPFNcx2f4,1140107.0,1140421.0,1140889.0,1141221
XvzrIh_2JOo,173656.0,173731.0,173807.0,173872
aJdrRV05R2c,13024052.0,13024052.0,13024052.0,13024052
604XKE8_TNE,94816.0,94847.0,94892.0,94923
-iMRP_KOmOs,1258867.0,1259342.0,1259824.0,1260208
kSDLPF74Sa8,44232.0,44232.0,44232.0,44232
_jkfmeu8MsU,45169.0,45169.0,45169.0,45169
cfGl7ZIq-CQ,,,,
5cJEZ-pC-RQ,6791321.0,6792523.0,6793831.0,6795209
BR7xmw_RTqs,414191.0,414742.0,415337.0,415724
NX31WXTuOnw,1360516.0,1360929.0,1361489.0,1361927
Y6cYFxVT5I8,6091.0,6091.0,6092.0,6093
O5biVaEFpY0,13898.0,13904.0,13908.0,13917
