Video link,260101,260102,260103,260104,260105,260106,260107,260108,260109,260110,260111,260112,260113,260114,260115,260116,260117,260118,260119,260120,260121,260122,260123,260124,260125,260126,260127,260128,260129,260130,260131,260201,260202,260203,260204,260205,260206,260207,260208
ZZIKS6NIMHo,61630.0,62393.0,63101.0,63737.0,64538.0,65393.0,66406.0,67434.0,69643.0,72291.0,73426.0,74038.0,74457.0,74763.0,75219.0,75893.0,76766.0,77259.0,77816.0,78212.0,78607.0,78960.0,79161.0,79395.0,79580.0,79746.0,79932.0,80209.0,80429.0,80676.0,80891.0,81044.0,81188.0,81344.0,81510.0,81676.0,81785.0,81881.0,82008
No2UhSOp8aM,233668.0,235125.0,236323.0,237351.0,238505.0,239525.0,240361.0,241050.0,241708.0,242421.0,242903.0,243604.0,244238.0,244768.0,245380.0,245915.0,246355.0,246803.0,247212.0,247695.0,248120.0,248431.0,248805.0,249241.0,249615.0,250053.0,250479.0,250840.0,251224.0,251563.0,251801.0,252080.0,252391.0,252779.0,253103.0,253375.0,253732.0,254027.0,254287
eDSb9J1DJKc,1074235.0,1080870.0,1088454.0,1095703.0,1102763.0,1110633.0,1117428.0,1123387.0,1128944.0,1134736.0,1140148.0,1145304.0,1150441.0,1154395.0,1158441.0,1162559.0,1165818.0,1168909.0,1171823.0,1174629.0,1177232.0,1179803.0,1182409.0,1184752.0,1187043.0,1189394.0,1191652.0,1193664.0,1195728.0,1197666.0,1199452.0,1201096.0,1202709.0,1204244.0,1205888.0,1207423.0,1209206.0,1210858.0,1212202
_LGkbAg-4oo,1219.0,1388.0,1579.0,1763.0,1852.0,1912.0,2004.0,2060.0,2094.0,2107.0,2127.0,2138.0,2146.0,2151.0,2161.0,2167.0,2168.0,2173.0,2176.0,2178.0,2181.0,2185.0,2187.0,2189.0,2192.0,2193.0,2196.0,2197.0,2198.0,2198.0,2200.0,2200.0,2205.0,2207.0,2219.0,2225.0,2230.0,2236.0,2239
aLBo0oJqBXI,9929208.0,9962372.0,10014580.0,10049586.0,10083184.0,10116366.0,10148871.0,10180238.0,10210625.0,10241199.0,10269640.0,10318413.0,10364926.0,10396445.0,10424352.0,10454658.0,10481881.0,10506681.0,10527301.0,10547744.0,10565993.0,10583764.0,10602767.0,10623614.0,10644578.0,10663435.0,10681394.0,10697052.0,10712447.0,10727748.0,10743071.0,10757530.0,10771659.0,10785404.0,10799176.0,10812190.0,10824885.0,10837595.0,10849909
VW7jSCsuWCI,151972.0,153262.0,154283.0,155163.0,156617.0,157454.0,157948.0,158361.0,158679.0,158919.0,159123.0,159312.0,159476.0,159627.0,159756.0,159882.0,159975.0,160057.0,160137.0,160280.0,160433.0,160498.0,160600.0,160677.0,160739.0,160802.0,160830.0,160891.0,160935.0,160973.0,161010.0,161051.0,161092.0,161139.0,161163.0,161187.0,161217.0,161238.0,161267
AoC7BBs_l6g,5714.0,5854.0,5989.0,6097.0,6198.0,6318.0,6438.0,6581.0,6690.0,6857.0,6994.0,7171.0,7430.0,7824.0,8514.0,8844.0,8970.0,9070.0,9117.0,9153.0,9179.0,9197.0,9207.0,9218.0,9225.0,9235.0,9245.0,9257.0,9267.0,9274.0,9284.0,9288.0,9292.0,9295.0,9297.0,9302.0,9307.0,9316.0,9323
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146.0,695600.0,697683.0,700009.0,702161.0,704235.0,706336.0,708288.0,709945.0,711484.0,713369.0,715021.0,716706.0,718337.0,720081.0,721536.0,722919.0,724461.0,725980.0,727603.0,729141.0,730743.0,731993.0,733141
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146.0,695600.0,697683.0,700009.0,702161.0,704235.0,706336.0,708288.0,709945.0,711484.0,713369.0,715021.0,716706.0,718337.0,720081.0,721536.0,722919.0,724461.0,725980.0,727603.0,729141.0,730743.0,731993.0,733141
blYK_tKXn9E,527156.0,530850.0,534368.0,537543.0,540497.0,544130.0,548342.0,552666.0,555033.0,556820.0,558800.0,564467.0,568120.0,569809.0,571513.0,573118.0,574124.0,574993.0,575839.0,576388.0,576774.0,577217.0,577889.0,578462.0,578893.0,579248.0,579578.0,579886.0,580189.0,580510.0,580850.0,581203.0,581491.0,581747.0,581998.0,582198.0,582424.0,582661.0,582867
OCfFVUySdYw,1520620.0,1552330.0,1605803.0,1640140.0,1666562.0,1690276.0,1711962.0,1733801.0,1768569.0,1796519.0,1819098.0,1835901.0,1851716.0,1868502.0,1889738.0,1943965.0,1980307.0,2003477.0,2019422.0,2031610.0,2041671.0,2050856.0,2058889.0,2066694.0,2074426.0,2080462.0,2085839.0,2090905.0,2095775.0,2100612.0,2105686.0,2110268.0,2114170.0,2117590.0,2120869.0,2124235.0,2127789.0,2131887.0,2136165
