Video link,260101,260102,260103,260104,260105,260106,260107,260108,260109,260110,260111,260112,260113,260114,260115,260116,260117,260118,260119,260120,260121,260122,260123,260124,260125,260126,260127,260128,260129,260130,260131,260201,260202,260203,260204,260205,260206,260207,260208,260209,260210,260211,260212,260213,260214,260215,260216,260217,260218,260219,260220,260221,260222,260223,260224,260225,260226,260227,260228,260301,260302,260303,260304,260305,260306,260307,260308,260309
ZZIKS6NIMHo,61630.0,62393.0,63101.0,63737.0,64538.0,65393.0,66406.0,67434.0,69643.0,72291.0,73426.0,74038.0,74457.0,74763.0,75219.0,75893.0,76766.0,77259.0,77816.0,78212.0,78607.0,78960.0,79161.0,79395.0,79580.0,79746.0,79932.0,80209.0,80429.0,80676.0,80891.0,81044.0,81188.0,81344.0,81510.0,81676.0,81785.0,81881.0,82008.0,82080.0,82149.0,82220.0,82282.0,82344.0,82428.0,82475.0,82536.0,82585.0,82633.0,82690.0,82736.0,82817.0,82871.0,,83001.0,83070.0,83138.0,83190.0,83242.0,83314.0,83368.0,83416.0,83449.0,83482.0,83512.0,83546.0,83569.0,83585
No2UhSOp8aM,233668.0,235125.0,236323.0,237351.0,238505.0,239525.0,240361.0,241050.0,241708.0,242421.0,242903.0,243604.0,244238.0,244768.0,245380.0,245915.0,246355.0,246803.0,247212.0,247695.0,248120.0,248431.0,248805.0,249241.0,249615.0,250053.0,250479.0,250840.0,251224.0,251563.0,251801.0,252080.0,252391.0,252779.0,253103.0,253375.0,253732.0,254027.0,254287.0,254534.0,254784.0,255053.0,255302.0,255529.0,255801.0,256050.0,256287.0,256570.0,256835.0,257099.0,257362.0,257601.0,257819.0,,258244.0,258434.0,258730.0,258967.0,259146.0,259396.0,259593.0,259769.0,260011.0,260202.0,260373.0,260554.0,260733.0,260897
eDSb9J1DJKc,1074235.0,1080870.0,1088454.0,1095703.0,1102763.0,1110633.0,1117428.0,1123387.0,1128944.0,1134736.0,1140148.0,1145304.0,1150441.0,1154395.0,1158441.0,1162559.0,1165818.0,1168909.0,1171823.0,1174629.0,1177232.0,1179803.0,1182409.0,1184752.0,1187043.0,1189394.0,1191652.0,1193664.0,1195728.0,1197666.0,1199452.0,1201096.0,1202709.0,1204244.0,1205888.0,1207423.0,1209206.0,1210858.0,1212202.0,1213607.0,1215259.0,1216756.0,1218210.0,1219374.0,1220492.0,1221555.0,1222532.0,1223594.0,1224529.0,1225439.0,1226406.0,1227392.0,1228236.0,,1230213.0,1231109.0,1232039.0,1232915.0,1233771.0,1234495.0,1235240.0,1236061.0,1236823.0,1237526.0,1238236.0,1238909.0,1239642.0,1240274
_LGkbAg-4oo,1219.0,1388.0,1579.0,1763.0,1852.0,1912.0,2004.0,2060.0,2094.0,2107.0,2127.0,2138.0,2146.0,2151.0,2161.0,2167.0,2168.0,2173.0,2176.0,2178.0,2181.0,2185.0,2187.0,2189.0,2192.0,2193.0,2196.0,2197.0,2198.0,2198.0,2200.0,2200.0,2205.0,2207.0,2219.0,2225.0,2230.0,2236.0,2239.0,2240.0,2242.0,2248.0,2248.0,2251.0,2253.0,2256.0,2257.0,2256.0,2258.0,2258.0,2260.0,2262.0,2267.0,,2270.0,2270.0,2272.0,2272.0,2275.0,2275.0,2276.0,2276.0,2281.0,2281.0,2282.0,2282.0,2284.0,2284
aLBo0oJqBXI,9929208.0,9962372.0,10014580.0,10049586.0,10083184.0,10116366.0,10148871.0,10180238.0,10210625.0,10241199.0,10269640.0,10318413.0,10364926.0,10396445.0,10424352.0,10454658.0,10481881.0,10506681.0,10527301.0,10547744.0,10565993.0,10583764.0,10602767.0,10623614.0,10644578.0,10663435.0,10681394.0,10697052.0,10712447.0,10727748.0,10743071.0,10757530.0,10771659.0,10785404.0,10799176.0,10812190.0,10824885.0,10837595.0,10849909.0,10861210.0,10872503.0,10883715.0,10894637.0,10905752.0,10917631.0,10928981.0,10939290.0,10948874.0,10958219.0,10967713.0,10977381.0,10987343.0,10997128.0,,11016447.0,11025613.0,11034394.0,11042698.0,11051393.0,11059800.0,11067584.0,11074805.0,11081931.0,11089374.0,11096498.0,11103997.0,11111361.0,11118292
VW7jSCsuWCI,151972.0,153262.0,154283.0,155163.0,156617.0,157454.0,157948.0,158361.0,158679.0,158919.0,159123.0,159312.0,159476.0,159627.0,159756.0,159882.0,159975.0,160057.0,160137.0,160280.0,160433.0,160498.0,160600.0,160677.0,160739.0,160802.0,160830.0,160891.0,160935.0,160973.0,161010.0,161051.0,161092.0,161139.0,161163.0,161187.0,161217.0,161238.0,161267.0,161289.0,161319.0,161339.0,161363.0,161394.0,161413.0,161429.0,161437.0,161461.0,161476.0,161493.0,161517.0,161593.0,161614.0,,161680.0,161711.0,161739.0,161765.0,161793.0,161807.0,161830.0,161864.0,161884.0,161900.0,161924.0,161936.0,161954.0,161979
AoC7BBs_l6g,5714.0,5854.0,5989.0,6097.0,6198.0,6318.0,6438.0,6581.0,6690.0,6857.0,6994.0,7171.0,7430.0,7824.0,8514.0,8844.0,8970.0,9070.0,9117.0,9153.0,9179.0,9197.0,9207.0,9218.0,9225.0,9235.0,9245.0,9257.0,9267.0,9274.0,9284.0,9288.0,9292.0,9295.0,9297.0,9302.0,9307.0,9316.0,9323.0,9327.0,9332.0,9336.0,9341.0,9347.0,9353.0,9355.0,9359.0,9361.0,9364.0,9367.0,9371.0,9388.0,9396.0,,9410.0,9410.0,9418.0,9424.0,9425.0,9428.0,9429.0,9430.0,9433.0,9436.0,9436.0,9439.0,9444.0,9447
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146.0,695600.0,697683.0,700009.0,702161.0,704235.0,706336.0,708288.0,709945.0,711484.0,713369.0,715021.0,716706.0,718337.0,720081.0,721536.0,722919.0,724461.0,725980.0,727603.0,729141.0,730743.0,731993.0,733141.0,734365.0,735641.0,736977.0,738314.0,739731.0,740901.0,742012.0,742936.0,744079.0,745036.0,745947.0,746920.0,747681.0,748540.0,,750425.0,751620.0,752732.0,753703.0,754548.0,755389.0,756451.0,757553.0,758494.0,759676.0,760928.0,762137.0,763137.0,764269
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146.0,695600.0,697683.0,700009.0,702161.0,704235.0,706336.0,708288.0,709945.0,711484.0,713369.0,715021.0,716706.0,718337.0,720081.0,721536.0,722919.0,724461.0,725980.0,727603.0,729141.0,730743.0,731993.0,733141.0,734365.0,735629.0,736977.0,738314.0,739731.0,740901.0,742012.0,742936.0,744079.0,745036.0,745947.0,746920.0,747702.0,748540.0,,750425.0,751620.0,752732.0,753703.0,754548.0,755389.0,756531.0,757553.0,758494.0,759676.0,760928.0,762137.0,763137.0,764269
